Job Title,Cleaned_Job_Skills
CLOUD SECURITY ENGINEER,"['cloud', 'security', 'security', 'protocol', 'compliance', 'cloud', 'platform']"
CNC PROGRAMMER,"['cnc', 'machine', 'cadcam', 'software', 'gcode', 'manufacturing', 'process']"
CODER,"['programming', 'language', 'scripting', 'problem', 'solving', 'software', 'development']"
COMPUTER GRAPHICS ANIMATOR,"['animation', 'software', '3d', 'modeling', 'visual', 'effect', 'graphic', 'design']"
COMPUTER HARDWARE ENGINEER,"['hardware', 'design', 'circuit', 'design', 'embedded', 'system', 'testing']"
COMPUTER NETWORK ARCHITECT,"['network', 'design', 'network', 'protocol', 'security', 'system', 'architecture']"
COMPUTER PROGRAMMER,"['programming', 'language', 'algorithm', 'software', 'development', 'debugging']"
COMPUTER RESEARCH SCIENTIST,"['research', 'methodology', 'data', 'analysis', 'programming', 'scientific', 'writing']"
COMPUTER SYSTEMS ANALYST,"['system', 'analysis', 'requirement', 'gathering', 'process', 'improvement', 'it', 'consulting']"
CONFLUENCE ENGINEER,"['confluence', 'atlassian', 'suite', 'documentation', 'collaboration', 'tool']"
CONSUL ENGINEER,"['consul', 'service', 'discovery', 'infrastructure', 'automation', 'networking']"
COVERAGE.PY ENGINEER,"['coveragepy', 'python', 'testing', 'test', 'coverage', 'analysis', 'software', 'quality']"
DATA ANALYST,"['data', 'analysis', 'sql', 'data', 'visualization', 'statistical', 'analysis']"
DATA ARCHITECT,"['data', 'modeling', 'database', 'design', 'etl', 'process', 'data', 'warehousing']"
DATA ENGINEER,"['etl', 'process', 'data', 'warehousing', 'big', 'data', 'technology', 'database', 'management']"
DATA MODELER,"['data', 'modeling', 'technique', 'database', 'design', 'data', 'governance', 'data', 'analysis']"
DATA SCIENTIST,"['machine', 'learning', 'statistical', 'analysis', 'data', 'mining', 'programming']"
DATABASE ADMINISTRATOR,"['database', 'management', 'sql', 'performance', 'tuning', 'backup', 'and', 'recovery']"
DATADOG ENGINEER,"['datadog', 'monitoring', 'system', 'performance', 'cloud', 'infrastructure']"
DEVOPS ARCHITECT,"['devops', 'practice', 'cloud', 'computing', 'automation', 'system', 'architecture']"
DEVOPS ENGINEER,"['automation', 'cicd', 'cloud', 'computing', 'scripting']"
DEVOPS MANAGER,"['devops', 'practice', 'team', 'leadership', 'project', 'management', 'automation']"
DEVSECOPS ARCHITECT,"['devsecops', 'practice', 'security', 'automation', 'cloud', 'security', 'system', 'architecture']"
DEVSECOPS ENGINEER,"['security', 'automation', 'cicd', 'cloud', 'security', 'scripting']"
DIRECTOR OF ENGINEERING,"['leadership', 'software', 'development', 'project', 'management', 'team', 'management']"
DOCKER ENGINEER,"['docker', 'containerization', 'orchestration', 'devops']"
ELK ENGINEER,"['elk', 'stack', 'log', 'management', 'data', 'analysis', 'system', 'monitoring']"
EMBEDDED SOFTWARE ENGINEER,"['embedded', 'system', 'cc', 'firmware', 'development', 'hardware', 'interface']"
ENTRY LEVEL DEVELOPER,"['programming', 'basic', 'software', 'development', 'problem', 'solving', 'learning', 'agility']"
ENTRY LEVEL NETWORK ENGINEER,"['networking', 'basic', 'troubleshooting', 'system', 'administration', 'learning', 'agility']"
ENTRY LEVEL PROGRAMMER,"['programming', 'basic', 'software', 'development', 'problem', 'solving', 'learning', 'agility']"
ENTRY LEVEL WEB DEVELOPER,"['html', 'cs', 'javascript', 'basic', 'web', 'development', 'learning', 'agility']"
ENVOY ENGINEER,"['envoy', 'proxy', 'service', 'mesh', 'load', 'balancing', 'networking']"
FALCO ENGINEER,"['falco', 'kubernetes', 'security', 'cloud', 'security', 'system', 'monitoring']"
FLUENTD ENGINEER,"['fluentd', 'log', 'aggregation', 'data', 'collection', 'system', 'monitoring']"
FORTIFY ENGINEER,"['fortify', 'static', 'code', 'analysis', 'application', 'security', 'secure', 'coding']"
FRAMEWORKS SPECIALIST,"['software', 'framework', 'programming', 'language', 'problem', 'solving', 'system', 'design']"
FRONT END DEVELOPER,"['html', 'cs', 'javascript', 'uiux', 'design', 'responsive', 'design']"
FULL STACK DEVELOPER,"['html', 'cs', 'javascript', 'backend', 'technology', 'database', 'management']"
FULL STACK JAVA DEVELOPER/PROGRAMMER/ENGINEER,"['java', 'spring', 'hibernate', 'html', 'cs', 'javascript']"
FULL STACK PYTHON DEVELOPER/PROGRAMMER/ENGINEER,"['python', 'django', 'flask', 'html', 'cs', 'javascript']"
GAME DEVELOPER,"['c', 'c', 'game', 'engine', '3d', 'modeling', 'game', 'design']"
GCP DEVOPS ENGINEER,"['google', 'cloud', 'platform', 'devops', 'practice', 'cicd', 'pipeline', 'automation']"
GERRIT ADMINISTRATOR,"['gerrit', 'code', 'review', 'git', 'version', 'control']"
GIT ENGINEER,"['git', 'version', 'control', 'branching', 'strategy', 'collaboration']"
GITHUB ENGINEER,"['github', 'git', 'collaboration', 'tool', 'cicd', 'integration']"
GITLAB ENGINEER,"['gitlab', 'git', 'cicd', 'pipeline', 'devops', 'practice']"
GRADLE ENGINEER,"['gradle', 'build', 'automation', 'java', 'software', 'configuration', 'management']"
GRAFANA ENGINEER,"['grafana', 'data', 'visualization', 'monitoring', 'system', 'performance']"
GROOVY ENGINEER,"['groovy', 'scripting', 'automation', 'software', 'development']"
INFORMATION ARCHITECT,"['information', 'architecture', 'user', 'experience', 'design', 'content', 'strategy', 'taxonomy']"
INFORMATION SECURITY ANALYST,"['security', 'protocol', 'threat', 'analysis', 'compliance', 'incident', 'response']"
INTERACTION DESIGNER,"['interaction', 'design', 'user', 'research', 'prototyping', 'usability', 'testing']"
IOS DEVELOPER,"['swift', 'objectivec', 'io', 'sdk', 'mobile', 'app', 'development', 'uiux', 'design']"
ISTIO ENGINEER,"['istio', 'service', 'mesh', 'traffic', 'management', 'security']"
IT MANAGER,"['it', 'management', 'team', 'leadership', 'project', 'management', 'budgeting']"
JACOCO ENGINEER,"['jacoco', 'code', 'coverage', 'java', 'testing', 'software', 'quality']"
JAVA DEVELOPER,"['java', 'spring', 'hibernate', 'software', 'development', 'objectoriented', 'programming']"
JENKINS ENGINEER,"['jenkins', 'cicd', 'pipeline', 'build', 'automation', 'devops', 'practice']"
JIRA ADMINISTRATOR,"['jira', 'atlassian', 'suite', 'workflow', 'configuration', 'project', 'management']"
JUNIOR FRONT END DEVELOPER,"['html', 'cs', 'javascript', 'basic', 'web', 'development', 'learning', 'agility']"
JUNIOR IOS DEVELOPER,"['swift', 'objectivec', 'io', 'sdk', 'basic', 'mobile', 'app', 'development', 'learning', 'agility']"
JUNIT ENGINEER,"['junit', 'java', 'testing', 'test', 'automation', 'software', 'quality']"
KUBERNETES OPERATIONS ENGINEER,"['kubernetes', 'container', 'orchestration', 'cloud', 'computing', 'devops', 'practice']"
MACHINE LEARNING ARCHITECT,"['machine', 'learning', 'algorithm', 'system', 'architecture', 'cloud', 'computing', 'data', 'modeling']"
MACHINE LEARNING ENGINEER,"['machine', 'learning', 'algorithm', 'python', 'data', 'analysis', 'model', 'deployment']"
MAVEN ENGINEER,"['maven', 'build', 'automation', 'java', 'software', 'configuration', 'management']"
MOBILE APP DEVELOPER,"['mobile', 'app', 'development', 'iosandroid', 'sdks', 'uiux', 'design', 'programming', 'language']"
MULESOFT DEVELOPER,"['mulesoft', 'anypoint', 'platform', 'api', 'integration', 'java', 'integration', 'pattern']"
NAGIOS ENGINEER,"['nagios', 'system', 'monitoring', 'linux', 'networking']"
NETWORK AND SYSTEMS ADMINISTRATOR,"['networking', 'system', 'administration', 'linuxwindows', 'server', 'troubleshooting']"
NETWORK ENGINEER,"['networking', 'protocol', 'ciscojuniper', 'device', 'network', 'security', 'troubleshooting']"
NEW RELIC ENGINEER,"['new', 'relic', 'application', 'performance', 'monitoring', 'troubleshooting', 'cloud', 'computing']"
NEXUS ENGINEER,"['nexus', 'repository', 'manager', 'artifact', 'management', 'devops', 'practice']"
NOMAD ENGINEER,"['nomad', 'container', 'orchestration', 'hashicorp', 'tool', 'infrastructure', 'automation']"
NOTARY ENGINEER,"['notary', 'container', 'security', 'docker', 'cryptography']"
OCTOPUS DEPLOY ENGINEER,"['octopus', 'deploy', 'deployment', 'automation', 'net', 'powershell']"
OPENSHIFT ENGINEER,"['openshift', 'kubernetes', 'containerization', 'devops', 'practice']"
OPENSTACK ENGINEER,"['openstack', 'cloud', 'computing', 'virtualization', 'system', 'administration']"
OPERATIONS ENGINEER,"['system', 'administration', 'linuxwindows', 'server', 'troubleshooting', 'scripting']"
ORACLE DEVELOPER,"['oracle', 'database', 'sql', 'plsql', 'database', 'development']"
ORACLE SQL DEVELOPER,"['oracle', 'sql', 'plsql', 'data', 'modeling', 'database', 'design']"
PACKER ENGINEER,"['packer', 'infrastructure', 'a', 'code', 'cloud', 'computing', 'automation']"
PHP DEVELOPER,"['php', 'mysql', 'web', 'development', 'framework', 'laravel', 'symfony']"
POWERSHELL ENGINEER,"['powershell', 'automation', 'window', 'server', 'administration', 'scripting']"
PRINCIPLE ENGINEER IN ARTIFICIAL INTELLIGENCE,"['aiml', 'architecture', 'leadership', 'strategic', 'planning', 'deep', 'learning']"
PRINCIPLE ENGINEER IN BIG DATA,"['big', 'data', 'architecture', 'hadoop', 'spark', 'data', 'warehousing']"
PRINCIPLE ENGINEER IN DATA ANALYSIS,"['data', 'analysis', 'statistical', 'modeling', 'data', 'visualization', 'leadership']"
PRINCIPLE ENGINEER IN MACHINE LEARNING,"['machine', 'learning', 'algorithm', 'model', 'development', 'deployment', 'leadership']"
PRODUCT MANAGER,"['product', 'strategy', 'market', 'analysis', 'requirement', 'gathering', 'product', 'roadmap']"
PRODUCTION SUPPORT ENGINEER,"['troubleshooting', 'incident', 'management', 'system', 'monitoring', 'technical', 'support']"
PUPPET OPERATIONS ENGINEER,"['puppet', 'configuration', 'management', 'automation', 'infrastructure', 'a', 'code']"
SENIOR BUILD AND RELEASE ENGINEER,"['cicd', 'pipeline', 'build', 'system', 'automation', 'configuration', 'management']"
SENIOR BUILD ENGINEER,"['build', 'system', 'scripting', 'automation', 'software', 'configuration', 'management']"
SENIOR DEVOPS ENGINEER,"['devops', 'practice', 'cloud', 'computing', 'automation', 'system', 'architecture']"
SITE RELIABILITY ENGINEER (KUBERNETES Â€ï¿½ DOCKER),"['kubernetes', 'docker', 'system', 'reliability', 'automation', 'monitoring']"
SPLUNK ENGINEER,"['splunk', 'log', 'management', 'data', 'analysis', 'system', 'monitoring']"
XL DEPLOY ENGINEER,"['xl', 'deploy', 'deployment', 'automation', 'devops', 'practice', 'configuration', 'management']"
ZABBIX ENGINEER,"['zabbix', 'system', 'monitoring', 'network', 'monitoring', 'alerting']"
API DEVELOPER,"['api', 'design', 'restful', 'service', 'programming', 'language', 'security']"
AUTOMATION SPECIALIST,"['automation', 'tool', 'scripting', 'process', 'improvement', 'testing']"
BUSINESS INTELLIGENCE ANALYST,"['data', 'analysis', 'sql', 'data', 'visualization', 'business', 'acumen']"
CLOUD MIGRATION SPECIALIST,"['cloud', 'platform', 'migration', 'tool', 'system', 'migration', 'project', 'management']"
CYBERSECURITY ANALYST,"['security', 'protocol', 'threat', 'analysis', 'compliance', 'incident', 'response']"
DATA QUALITY ENGINEER,"['data', 'quality', 'tool', 'data', 'profiling', 'sql', 'data', 'governance']"
DIGITAL TRANSFORMATION CONSULTANT,"['digital', 'strategy', 'technology', 'consulting', 'business', 'process', 'improvement', 'change', 'management']"
E-COMMERCE DEVELOPER,"['ecommerce', 'platform', 'web', 'development', 'payment', 'gateway', 'security']"
EMBEDDED SYSTEMS ENGINEER,"['embedded', 'system', 'cc', 'firmware', 'development', 'hardware', 'interface']"
ERP CONSULTANT,"['erp', 'system', 'business', 'process', 'analysis', 'implementation', 'training']"
GEOGRAPHIC INFORMATION SYSTEMS (GIS) ANALYST,"['gi', 'software', 'spatial', 'analysis', 'cartography', 'data', 'visualization']"
HELP DESK TECHNICIAN,"['technical', 'support', 'troubleshooting', 'customer', 'service', 'hardwaresoftware']"
IDENTITY AND ACCESS MANAGEMENT SPECIALIST,"['iam', 'system', 'security', 'protocol', 'authentication', 'authorization']"
INFRASTRUCTURE ARCHITECT,"['system', 'architecture', 'cloud', 'computing', 'networking', 'security']"
INTERNET OF THINGS (IoT) DEVELOPER,"['iot', 'platform', 'embedded', 'system', 'sensor', 'technology', 'programming', 'language']"
IT AUDITOR,"['it', 'auditing', 'compliance', 'risk', 'management', 'security']"
JAVA ARCHITECT,"['java', 'system', 'architecture', 'design', 'pattern', 'cloud', 'computing']"
LINUX ADMINISTRATOR,"['linux', 'server', 'system', 'administration', 'scripting', 'troubleshooting']"
MAINFRAME DEVELOPER,"['mainframe', 'system', 'cobol', 'jcl', 'vsam']"
MICROSOFT DYNAMICS DEVELOPER,"['microsoft', 'dynamic', 'crm', 'net', 'development']"
MOBILE SECURITY SPECIALIST,"['mobile', 'security', 'penetration', 'testing', 'security', 'protocol', 'risk', 'management']"
NATURAL LANGUAGE PROCESSING ENGINEER,"['nlp', 'algorithm', 'python', 'machine', 'learning', 'text', 'analysis']"
NETWORK ARCHITECT,"['network', 'design', 'network', 'protocol', 'security', 'system', 'architecture']"
PENETRATION TESTER,"['penetration', 'testing', 'security', 'audit', 'ethical', 'hacking', 'vulnerability', 'assessment']"
PYTHON ARCHITECT,"['python', 'system', 'architecture', 'design', 'pattern', 'cloud', 'computing']"
QUALITY ASSURANCE MANAGER,"['qa', 'process', 'test', 'automation', 'test', 'planning', 'team', 'leadership']"
RELEASE MANAGER,"['release', 'management', 'cicd', 'pipeline', 'coordination', 'communication']"
SAP CONSULTANT,"['sap', 'module', 'business', 'process', 'analysis', 'implementation', 'customization']"
UX/UI DESIGNER,"['uxui', 'design', 'user', 'research', 'prototyping', 'usability', 'testing']"
WEB DEVELOPER,"['html', 'cs', 'javascript', 'web', 'development', 'framework']"
BACK END DEVELOPER,"['serverside', 'programming', 'database', 'api', 'development', 'framework']"
WEB DESIGNER,"['web', 'design', 'graphic', 'design', 'uiux', 'principle', 'wireframing']"
WEB ENGINEER,"['web', 'technology', 'system', 'architecture', 'performance', 'optimization', 'security']"
WEB PRODUCER,"['web', 'content', 'management', 'project', 'management', 'content', 'strategy', 'collaboration']"
WEB PROJECT MANAGER,"['project', 'management', 'web', 'development', 'communication', 'budgeting']"
WEB CONTENT MANAGER,"['content', 'creation', 'content', 'strategy', 'cm', 'seo']"
MULTIMEDIA ARCHITECT,"['multimedia', 'design', 'video', 'production', 'audio', 'production', 'graphic', 'design']"
WEB ANALYTICS DEVELOPER,"['web', 'analytics', 'tool', 'data', 'analysis', 'reporting', 'ab', 'testing']"
SEO CONSULTANT,"['search', 'engine', 'optimization', 'keyword', 'research', 'content', 'optimization', 'link', 'building']"
SEO MANAGER,"['seo', 'strategy', 'team', 'leadership', 'performance', 'monitoring', 'reporting']"
INTERNET ENGINEER,"['networking', 'protocol', 'internet', 'technology', 'system', 'administration', 'security']"
FRONT-END DESIGNER,"['html', 'cs', 'javascript', 'uiux', 'design', 'responsive', 'design']"
MOBILE DEVELOPER,"['mobile', 'app', 'development', 'iosandroid', 'sdks', 'uiux', 'design', 'programming', 'language']"
PYTHON DEVELOPER,"['python', 'web', 'framework', 'django', 'flask', 'data', 'analysis', 'scripting']"
POWER BI DEVELOPER,"['power', 'bi', 'data', 'modeling', 'dax', 'data', 'visualization']"
POWER BI ANALYST,"['power', 'bi', 'data', 'analysis', 'sql', 'business', 'intelligence']"
CLOUD COMPUTING SPECIALIST,"['cloud', 'platform', 'virtualization', 'system', 'administration', 'security']"
CYBERSECURITY SPECIALIST,"['security', 'protocol', 'threat', 'analysis', 'compliance', 'incident', 'response']"
DATA SCIENCE SPECIALIST,"['data', 'analysis', 'machine', 'learning', 'statistical', 'modeling', 'data', 'visualization']"
ARTIFICIAL INTELLIGENCE ENGINEER,"['aiml', 'algorithm', 'python', 'deep', 'learning', 'neural', 'network']"
DATABASE ARCHITECT,"['database', 'design', 'data', 'modeling', 'sql', 'performance', 'tuning']"
SOFTWARE ARCHITECT,"['system', 'architecture', 'design', 'pattern', 'programming', 'language', 'cloud', 'computing']"
CYBERSECURITY ENGINEER,"['security', 'protocol', 'threat', 'analysis', 'risk', 'management', 'incident', 'response']"
INFOSEC ANALYST/CYBERSECURITY ANALYST,"['security', 'protocol', 'threat', 'analysis', 'compliance', 'incident', 'response']"
COMPUTER FORENSIC ANALYST,"['digital', 'forensics', 'incident', 'response', 'data', 'recovery', 'legal', 'compliance']"
IT SECURITY SPECIALIST,"['security', 'protocol', 'threat', 'analysis', 'compliance', 'risk', 'management']"
SECURITY MANAGER,"['security', 'management', 'risk', 'assessment', 'compliance', 'team', 'leadership']"
SECURITY ENGINEER,"['security', 'protocol', 'threat', 'analysis', 'risk', 'management', 'incident', 'response']"
SECURITY CONSULTANT,"['security', 'consulting', 'risk', 'assessment', 'compliance', 'security', 'solution']"
DIRECTOR OF SECURITY,"['security', 'leadership', 'risk', 'management', 'compliance', 'incident', 'response']"
SECURITY ADMINISTRATOR,"['security', 'tool', 'system', 'administration', 'user', 'management', 'security', 'policy']"
SECURITY SPECIALIST,"['security', 'protocol', 'threat', 'analysis', 'compliance', 'risk', 'management']"
CHIEF INFORMATION OFFICER,"['it', 'strategy', 'leadership', 'budgeting', 'project', 'management']"
NETWORK SECURITY ENGINEER,"['networking', 'protocol', 'security', 'protocol', 'firewall', 'management', 'intrusion', 'detection']"
MACHINE LEARNING ENGINEER FOR CYBERSECURITY,"['machine', 'learning', 'algorithm', 'cybersecurity', 'data', 'analysis', 'threat', 'detection']"
NETWORK ANALYST,"['network', 'monitoring', 'troubleshooting', 'performance', 'analysis', 'reporting']"
NETWORK OPERATIONS ENGINEER,"['network', 'operation', 'troubleshooting', 'monitoring', 'incident', 'response']"
NETWORK RELIABILITY ENGINEER,"['network', 'reliability', 'automation', 'monitoring', 'incident', 'response']"
NETWORK INFRASTRUCTURE SPECIALIST,"['networking', 'hardware', 'cabling', 'network', 'design', 'implementation']"
COMPUTER SUPPORT SPECIALIST,"['technical', 'support', 'troubleshooting', 'customer', 'service', 'hardwaresoftware']"
INFORMATION TECHNOLOGY ANALYST,"['it', 'analysis', 'requirement', 'gathering', 'process', 'improvement', 'it', 'consulting']"
TECHNOLOGY SALES CONSULTANT,"['sale', 'technology', 'solution', 'customer', 'relationship', 'management', 'technical', 'expertise']"
DATABASE DEVELOPER,"['database', 'development', 'sql', 'plsql', 'data', 'modeling']"
DATABASE ANALYST,"['data', 'analysis', 'sql', 'data', 'modeling', 'reporting']"
DATA WAREHOUSE MANAGER,"['data', 'warehousing', 'etl', 'process', 'data', 'modeling', 'team', 'leadership']"
DATA WAREHOUSE PROGRAMMING SPECIALIST,"['etl', 'process', 'sql', 'data', 'modeling', 'data', 'warehousing']"
INTELLIGENCE SPECIALIST,"['data', 'analysis', 'intelligence', 'gathering', 'reporting', 'security']"
CLOUD/SOFTWARE ARCHITECT,"['cloud', 'platform', 'system', 'architecture', 'cloud', 'security', 'devops']"
CLOUD/SOFTWARE DEVELOPER,"['cloud', 'platform', 'programming', 'language', 'software', 'development', 'cloud', 'service']"
CLOUD/SOFTWARE APPLICATIONS ENGINEER,"['cloud', 'platform', 'application', 'development', 'cloud', 'service', 'devops']"
CLOUD SYSTEM ADMINISTRATOR,"['cloud', 'platform', 'system', 'administration', 'virtualization', 'networking']"
CLOUD SYSTEM ENGINEER,"['cloud', 'platform', 'system', 'engineering', 'automation', 'scripting']"
PLATFORM ENGINEER,"['platform', 'engineering', 'cloud', 'computing', 'automation', 'devops', 'practice']"
SOFTWARE QUALITY ASSURANCE ANALYST,"['qa', 'process', 'test', 'planning', 'test', 'execution', 'reporting']"
UI (USER INTERFACE) DESIGNER,"['ui', 'design', 'user', 'research', 'prototyping', 'usability', 'testing']"
TECHNICAL ACCOUNT MANAGER,"['customer', 'relationship', 'management', 'technical', 'support', 'account', 'management', 'sale']"
IT SALES EXECUTIVE,"['sale', 'technology', 'solution', 'customer', 'relationship', 'management', 'sale', 'strategy']"
IT SALES DIRECTOR,"['sale', 'leadership', 'sale', 'strategy', 'customer', 'relationship', 'management', 'team', 'management']"
TECHNOLOGY MANAGER,"['it', 'management', 'team', 'leadership', 'project', 'management', 'budgeting']"
TECHNOLOGY ASSISTANT,"['technical', 'support', 'administrative', 'support', 'hardwaresoftware', 'troubleshooting']"
TECHNOLOGY SPECIALIST,"['technical', 'expertise', 'problem', 'solving', 'troubleshooting', 'it', 'support']"
DIRECTOR ORACLE,"['oracle', 'database', 'team', 'leadership', 'project', 'management', 'budgeting']"
KNOWLEDGE MANAGER,"['knowledge', 'management', 'information', 'architecture', 'collaboration', 'documentation']"
MANAGER HARDWARE,"['hardware', 'management', 'team', 'leadership', 'budgeting', 'inventory', 'management']"
SHAREPOINT MANAGER,"['sharepoint', 'team', 'leadership', 'project', 'management', 'collaboration']"
REQUIREMENTS MANAGER,"['requirement', 'gathering', 'analysis', 'documentation', 'communication']"
IMPLEMENTATION DIRECTOR,"['implementation', 'management', 'project', 'management', 'team', 'leadership', 'communication']"
TECHNOLOGY OFFICER,"['it', 'strategy', 'leadership', 'innovation', 'project', 'management']"
DIRECTOR BUSINESS SYSTEMS,"['business', 'system', 'team', 'leadership', 'project', 'management', 'process', 'improvement']"
MANAGER NET,"['net', 'development', 'team', 'leadership', 'project', 'management', 'net', 'framework']"
SYSTEMS INTEGRATION MANAGER,"['system', 'integration', 'project', 'management', 'team', 'leadership', 'communication']"
DIGITAL PROGRAM MANAGER,"['digital', 'strategy', 'program', 'management', 'team', 'leadership', 'communication']"
INTEGRATION DIRECTOR,"['integration', 'management', 'project', 'management', 'team', 'leadership', 'communication']"
DIRECTOR HARDWARE,"['hardware', 'management', 'team', 'leadership', 'budgeting', 'strategic', 'planning']"
MANAGER LINUX,"['linux', 'administration', 'team', 'leadership', 'project', 'management', 'troubleshooting']"
MANAGER PHP,"['php', 'development', 'team', 'leadership', 'project', 'management', 'web', 'development']"
FIRMWARE MANAGER,"['firmware', 'development', 'team', 'leadership', 'project', 'management', 'embedded', 'system']"
IT PROGRAM ENGAGEMENT DIRECTOR,"['it', 'program', 'management', 'customer', 'relationship', 'management', 'stakeholder', 'management', 'team', 'leadership']"
MANAGER UNIX,"['unix', 'administration', 'team', 'leadership', 'project', 'management', 'troubleshooting']"
TECHNOLOGY ADOPTION MANAGER,"['technology', 'adoption', 'training', 'communication', 'change', 'management']"
IT SUPPORT SPECIALIST,"['technical', 'support', 'troubleshooting', 'customer', 'service', 'hardwaresoftware']"
CUSTOMER SERVICE REPRESENTATIVE,"['customer', 'service', 'communication', 'problem', 'solving', 'technical', 'support']"
TECHNICAL PRODUCT MANAGER,"['product', 'management', 'technical', 'expertise', 'market', 'analysis', 'requirement', 'gathering']"
PROJECT MANAGER,"['project', 'management', 'planning', 'execution', 'communication']"
PROGRAM MANAGER,"['program', 'management', 'planning', 'execution', 'communication']"
PORTFOLIO MANAGER,"['portfolio', 'management', 'investment', 'management', 'risk', 'management', 'financial', 'analysis']"
CHIEF INFORMATION OFFICER (CIO),"['it', 'strategy', 'leadership', 'budgeting', 'project', 'management']"
CHIEF TECHNOLOGY OFFICER (CTO),"['technology', 'strategy', 'innovation', 'research', 'and', 'development', 'team', 'leadership']"
IT DIRECTOR,"['it', 'management', 'team', 'leadership', 'budgeting', 'project', 'management']"
TECHNICAL OPERATIONS OFFICER,"['technical', 'operation', 'infrastructure', 'management', 'system', 'administration', 'incident', 'response']"
INFORMATION MANAGEMENT SYSTEMS DIRECTOR,"['information', 'management', 'system', 'administration', 'data', 'management', 'compliance']"
SENIOR IT CONSULTANT,"['it', 'consulting', 'project', 'management', 'technical', 'expertise', 'client', 'management']"
TECHNICAL LEAD,"['technical', 'leadership', 'software', 'development', 'team', 'leadership', 'mentoring']"
IT APPRENTICE,"['technical', 'support', 'troubleshooting', 'learning', 'agility', 'customer', 'service']"
IT TECHNICIAN,"['technical', 'support', 'troubleshooting', 'hardwaresoftware', 'networking']"
IT SYSTEMS ADMINISTRATOR,"['system', 'administration', 'linuxwindows', 'server', 'troubleshooting', 'scripting']"
IT ENGINEER,"['system', 'engineering', 'networking', 'cloud', 'computing', 'security']"
